Time_Detected,Time_Reset,Turbine_Identifier,Remark,Unit_Title_Destination
2017-01-01 00:20:47+00:00,,T07,External power ref.:2000kW,
2017-01-01 00:50:46+00:00,,T07,External power ref.:2000kW,
2017-01-01 01:20:45+00:00,,T07,External power ref.:2000kW,
2017-01-01 01:36:28+00:00,,T07,"HV Trafo. vent. 0, temp:  2Â°C",
2017-01-01 01:50:44+00:00,,T07,External power ref.:2000kW,
2017-01-01 02:20:44+00:00,,T07,External power ref.:2000kW,
2017-01-01 02:50:44+00:00,,T07,External power ref.:2000kW,
2017-01-01 03:20:44+00:00,,T07,External power ref.:2000kW,
2017-01-01 03:50:44+00:00,,T07,External power ref.:2000kW,
2017-01-01 04:16:56+00:00,,T07,"GearoilCooler 2, gear:  57Â°C",
2017-01-01 04:20:43+00:00,,T07,External power ref.:2000kW,
2017-01-01 04:50:43+00:00,,T07,External power ref.:2000kW,
2017-01-01 05:20:43+00:00,,T07,External power ref.:2000kW,
2017-01-01 05:50:43+00:00,,T07,External power ref.:2000kW,
2017-01-01 06:20:43+00:00,,T07,External power ref.:2000kW,
2017-01-01 06:50:42+00:00,,T07,External power ref.:2000kW,
2017-01-01 07:20:42+00:00,,T07,External power ref.:2000kW,
2017-01-01 07:50:42+00:00,,T07,External power ref.:2000kW,
2017-01-01 08:20:42+00:00,,T07,External power ref.:2000kW,
2017-01-01 08:31:55+00:00,,T07,"GearoilCooler 1, gear:  49Â°C",
2017-01-01 08:50:42+00:00,,T07,External power ref.:2000kW,
2017-01-01 09:20:40+00:00,,T07,External power ref.:2000kW,
2017-01-01 09:50:40+00:00,,T07,External power ref.:2000kW,
2017-01-01 10:20:40+00:00,,T07,External power ref.:2000kW,
2017-01-01 10:22:40+00:00,,T07,"Gen. int. vent. 1, temp: 54Â°C",
2017-01-01 10:50:40+00:00,,T07,External power ref.:2000kW,
2017-01-01 11:20:40+00:00,,T07,External power ref.:2000kW,
2017-01-01 11:50:39+00:00,,T07,External power ref.:2000kW,
2017-01-01 12:20:39+00:00,,T07,External power ref.:2000kW,
2017-01-01 12:50:39+00:00,,T07,External power ref.:2000kW,
2017-01-01 13:20:39+00:00,,T07,External power ref.:2000kW,
2017-01-01 13:50:38+00:00,,T07,External power ref.:2000kW,
2017-01-01 14:20:39+00:00,,T07,External power ref.:2000kW,
2017-01-01 14:50:38+00:00,,T07,External power ref.:2000kW,
2017-01-01 15:20:38+00:00,,T07,External power ref.:2000kW,
2017-01-01 15:50:38+00:00,,T07,External power ref.:2000kW,
2017-01-01 16:20:38+00:00,,T07,External power ref.:2000kW,
2017-01-01 16:50:38+00:00,,T07,External power ref.:2000kW,
2017-01-01 17:20:37+00:00,,T07,External power ref.:2000kW,
2017-01-01 17:50:37+00:00,,T07,External power ref.:2000kW,
2017-01-01 18:20:36+00:00,,T07,External power ref.:2000kW,
2017-01-01 18:50:36+00:00,,T07,External power ref.:2000kW,
2017-01-01 19:20:36+00:00,,T07,External power ref.:2000kW,
2017-01-01 19:50:35+00:00,,T07,External power ref.:2000kW,
2017-01-01 20:20:35+00:00,,T07,External power ref.:2000kW,
2017-01-01 20:50:35+00:00,,T07,External power ref.:2000kW,
2017-01-01 21:20:35+00:00,,T07,External power ref.:2000kW,
2017-01-01 21:50:35+00:00,,T07,External power ref.:2000kW,
2017-01-01 22:20:34+00:00,,T07,External power ref.:2000kW,
2017-01-01 22:50:34+00:00,,T07,External power ref.:2000kW,
2017-01-01 23:20:34+00:00,,T07,External power ref.:2000kW,
2017-01-01 23:50:34+00:00,,T07,External power ref.:2000kW,
2017-01-02 00:20:34+00:00,,T07,External power ref.:2000kW,
2017-01-02 00:50:33+00:00,,T07,External power ref.:2000kW,
2017-01-02 01:20:33+00:00,,T07,External power ref.:2000kW,
2017-01-02 01:21:52+00:00,,T07,"Nac.vent.0, nac/gear: 19/ 45Â°C",
2017-01-02 01:39:34+00:00,,T07,Accumulator test done -> OK,
2017-01-02 01:41:24+00:00,,T07,Generator 1 in,
2017-01-02 01:50:33+00:00,,T07,External power ref.:2000kW,
2017-01-02 02:20:33+00:00,,T07,External power ref.:2000kW,
2017-01-02 02:50:32+00:00,,T07,External power ref.:2000kW,
2017-01-02 03:14:32+00:00,,T07,"Nac.vent.1, nac/gear: 20/ 55Â°C",
2017-01-02 03:20:32+00:00,,T07,External power ref.:2000kW,
2017-01-02 03:50:32+00:00,,T07,External power ref.:2000kW,
2017-01-02 04:20:31+00:00,,T07,External power ref.:2000kW,
2017-01-02 04:50:31+00:00,,T07,External power ref.:2000kW,
2017-01-02 05:20:31+00:00,,T07,External power ref.:2000kW,
2017-01-02 05:24:05+00:00,,T07,"Gen. int. vent. 2, temp: 70Â°C",
2017-01-02 05:50:30+00:00,,T07,External power ref.:2000kW,
2017-01-02 05:56:04+00:00,,T07,"GearoilCooler 2, gear:  57Â°C",
2017-01-02 06:20:30+00:00,,T07,External power ref.:2000kW,
2017-01-02 06:29:27+00:00,,T07,"Nac.vent.2, nac/gear: 23/ 60Â°C",
2017-01-02 06:50:30+00:00,,T07,External power ref.:2000kW,
2017-01-02 07:15:20+00:00,,T07,"Nac.vent.1, nac/gear: 23/ 51Â°C",
2017-01-02 07:20:30+00:00,,T07,External power ref.:2000kW,
2017-01-02 07:50:29+00:00,,T07,External power ref.:2000kW,
2017-01-02 08:20:30+00:00,,T07,External power ref.:2000kW,
2017-01-02 08:50:30+00:00,,T07,External power ref.:2000kW,
2017-01-02 09:18:55+00:00,,T07,"Nac.vent.2, nac/gear: 24/ 60Â°C",
2017-01-02 09:20:29+00:00,,T07,External power ref.:2000kW,
2017-01-02 09:50:29+00:00,,T07,External power ref.:2000kW,
2017-01-02 10:04:03+00:00,,T07,"HV Trafo. vent. 1, temp:  2Â°C",
2017-01-02 10:20:29+00:00,,T07,External power ref.:2000kW,
2017-01-02 10:32:24+00:00,,T07,"Nac.vent.1, nac/gear: 25/ 51Â°C",
2017-01-02 10:50:29+00:00,,T07,External power ref.:2000kW,
2017-01-02 11:20:28+00:00,,T07,External power ref.:2000kW,
2017-01-02 11:35:48+00:00,,T07,"Nac.vent.2, nac/gear: 26/ 60Â°C",
2017-01-02 11:50:28+00:00,,T07,External power ref.:2000kW,
2017-01-02 12:20:28+00:00,,T07,External power ref.:2000kW,
2017-01-02 12:50:28+00:00,,T07,External power ref.:2000kW,
2017-01-02 13:20:27+00:00,,T07,External power ref.:2000kW,
2017-01-02 13:50:27+00:00,,T07,External power ref.:2000kW,
2017-01-02 14:20:27+00:00,,T07,External power ref.:2000kW,
2017-01-02 14:50:27+00:00,,T07,External power ref.:2000kW,
2017-01-02 15:20:26+00:00,,T07,External power ref.:2000kW,
2017-01-02 15:50:26+00:00,,T07,External power ref.:2000kW,
2017-01-02 16:20:26+00:00,,T07,External power ref.:2000kW,
2017-01-02 16:50:26+00:00,,T07,External power ref.:2000kW,
2017-01-02 17:20:25+00:00,,T07,External power ref.:2000kW,
2017-01-02 17:50:25+00:00,,T07,External power ref.:2000kW,
2017-01-02 18:15:21+00:00,,T07,"GearoilCooler 1, gear:  49Â°C",
2017-01-02 18:20:25+00:00,,T07,External power ref.:2000kW,
2017-01-02 18:50:25+00:00,,T07,External power ref.:2000kW,
2017-01-02 18:58:27+00:00,,T07,"GearoilCooler 2, gear:  57Â°C",
2017-01-02 19:20:24+00:00,,T07,External power ref.:2000kW,
2017-01-02 19:50:24+00:00,,T07,External power ref.:2000kW,
2017-01-02 20:20:24+00:00,,T07,External power ref.:2000kW,
2017-01-02 20:50:24+00:00,,T07,External power ref.:2000kW,
2017-01-02 21:20:23+00:00,,T07,External power ref.:2000kW,
2017-01-02 21:34:40+00:00,,T07,"GearoilCooler 1, gear:  49Â°C",
2017-01-02 21:50:23+00:00,,T07,External power ref.:2000kW,
2017-01-02 22:20:23+00:00,,T07,External power ref.:2000kW,
2017-01-02 22:29:42+00:00,,T07,"GearoilCooler 2, gear:  57Â°C",
2017-01-02 22:50:23+00:00,,T07,External power ref.:2000kW,
