,Turbine_ID_x,Timestamp,Gen_RPM_Max,Gen_RPM_Min,Gen_RPM_Avg,Gen_RPM_Std,Gen_Bear_Temp_Avg,Gen_Phase1_Temp_Avg,Gen_Phase2_Temp_Avg,Gen_Phase3_Temp_Avg,Hyd_Oil_Temp_Avg,Gear_Oil_Temp_Avg,Gear_Bear_Temp_Avg,Nac_Temp_Avg,Rtr_RPM_Max,Rtr_RPM_Min,Rtr_RPM_Avg,Amb_WindSpeed_Max,Amb_WindSpeed_Min,Amb_WindSpeed_Avg,Amb_WindSpeed_Std,Amb_WindDir_Relative_Avg,Amb_WindDir_Abs_Avg,Amb_Temp_Avg,Prod_LatestAvg_ActPwrGen0,Prod_LatestAvg_ActPwrGen1,Prod_LatestAvg_ActPwrGen2,Prod_LatestAvg_TotActPwr,Prod_LatestAvg_ReactPwrGen0,Prod_LatestAvg_ReactPwrGen1,Prod_LatestAvg_ReactPwrGen2,Prod_LatestAvg_TotReactPwr,HVTrafo_Phase1_Temp_Avg,HVTrafo_Phase2_Temp_Avg,HVTrafo_Phase3_Temp_Avg,Grd_InverterPhase1_Temp_Avg,Cont_Top_Temp_Avg,Cont_Hub_Temp_Avg,Cont_VCP_Temp_Avg,Gen_SlipRing_Temp_Avg,Spin_Temp_Avg,Blds_PitchAngle_Min,Blds_PitchAngle_Max,Blds_PitchAngle_Avg,Blds_PitchAngle_Std,Cont_VCP_ChokcoilTemp_Avg,Grd_RtrInvPhase1_Temp_Avg,Grd_RtrInvPhase2_Temp_Avg,Grd_RtrInvPhase3_Temp_Avg,Cont_VCP_WtrTemp_Avg,Grd_Prod_Pwr_Avg,Grd_Prod_CosPhi_Avg,Grd_Prod_Freq_Avg,Grd_Prod_VoltPhse1_Avg,Grd_Prod_VoltPhse2_Avg,Grd_Prod_VoltPhse3_Avg,Grd_Prod_CurPhse1_Avg,Grd_Prod_CurPhse2_Avg,Grd_Prod_CurPhse3_Avg,Grd_Prod_Pwr_Max,Grd_Prod_Pwr_Min,Grd_Busbar_Temp_Avg,Rtr_RPM_Std,Amb_WindSpeed_Est_Avg,Grd_Prod_Pwr_Std,Grd_Prod_ReactPwr_Avg,Grd_Prod_ReactPwr_Max,Grd_Prod_ReactPwr_Min,Grd_Prod_ReactPwr_Std,Grd_Prod_PsblePwr_Avg,Grd_Prod_PsblePwr_Max,Grd_Prod_PsblePwr_Min,Grd_Prod_PsblePwr_Std,Grd_Prod_PsbleInd_Avg,Grd_Prod_PsbleInd_Max,Grd_Prod_PsbleInd_Min,Grd_Prod_PsbleInd_Std,Grd_Prod_PsbleCap_Avg,Grd_Prod_PsbleCap_Max,Grd_Prod_PsbleCap_Min,Grd_Prod_PsbleCap_Std,Gen_Bear2_Temp_Avg,Nac_Direction_Avg,RPM_Diff,Power_Diff,Turbine_ID_y,Component,Remarks
0,T06,2017-01-03 11:40:00+00:00,1260.3,247.7,644.9,466.3,40.0,52.0,54.0,54.0,29.0,43.0,47.0,27.0,11.2,2.3,5.7,5.0,0.5,3.1,0.5,17.1,112.3,15.0,-1239.0,99.0,0.0,-1140.0,-1670.0,-534.0,0.0,-2204.0,41.0,44.0,40.0,35.0,37.0,26.0,36.0,24.0,19.0,0.1,44.6,16.1,11.3,90.0,35.0,33.0,33.0,34.0,-6.9,0.6000000000000001,50.0,399.5,398.8,396.9,13.8,17.3,15.8,19.9,-27.4,35.0,4.1,3.1,6.7,-12.9,5.7,-92.6,11.3,17.3,72.2,0.0,16.6,-3.9,0.0,-100.2,15.5,3.9,100.2,0.0,15.5,36.0,95.2,603.8000000000001,29.200000000000003,,,
1,T06,2017-01-04 15:10:00+00:00,1275.6,1233.2,1249.2,6.7,37.0,37.0,37.0,38.0,33.0,37.0,44.0,28.0,11.3,10.9,11.1,6.8,1.2,3.6,0.6000000000000001,-13.7,313.9,20.0,-66.0,8460.0,0.0,8394.0,-64.0,-5928.0,0.0,-5992.0,41.0,45.0,41.0,39.0,35.0,29.0,35.0,26.0,23.0,-1.4,2.1,0.3,0.6000000000000001,54.0,40.0,38.0,38.0,38.0,50.2,0.5,50.0,396.5,394.5,393.1,134.6,147.0,142.3,190.7,-25.4,28.0,0.1,3.9,40.8,-37.3,491.3,-681.8,192.3,52.9,193.9,0.0,37.3,-250.6,0.0,-950.0,190.9,250.6,950.0,0.0,190.9,41.0,327.6,484.20000000000005,14.800000000000004,,,
2,T06,2017-01-04 15:20:00+00:00,1384.9,30.6,896.6,449.2,38.0,39.0,39.0,40.0,33.0,37.0,44.0,28.0,12.3,0.0,7.9,6.7,0.6000000000000001,3.2,0.7000000000000001,9.0,336.6,20.0,-949.0,1039.0,0.0,90.0,-785.0,-1882.0,0.0,-2667.0,42.0,45.0,41.0,38.0,35.0,29.0,35.0,26.0,23.0,-2.3,86.3,13.6,23.1,57.0,39.0,37.0,37.0,38.0,0.5,0.6000000000000001,50.0,397.2,395.6,393.6,24.2,30.2,25.0,191.2,-44.1,29.0,4.1,3.2,26.7,-16.1,63.1,-189.7,34.5,26.6,192.3,0.0,37.6,-35.4,0.0,-942.2,115.3,35.4,942.2,0.0,115.3,41.0,327.6,352.6,49.7,,,
3,T06,2017-01-04 15:30:00+00:00,1012.8,0.0,194.8,155.0,38.0,39.0,40.0,40.0,34.0,37.0,42.0,28.0,8.7,0.0,1.6,8.8,0.7000000000000001,3.3,0.8,3.5,334.6,20.0,-1072.0,0.0,0.0,-1072.0,-997.0,0.0,0.0,-997.0,42.0,45.0,41.0,38.0,35.0,30.0,35.0,25.0,22.0,-2.3,89.7,43.1,30.4,56.0,38.0,36.0,36.0,38.0,-6.4,0.7000000000000001,50.0,398.3,396.8,394.5,6.7,9.4,9.1,-3.5,-28.1,29.0,1.4,3.3,5.5,-5.9,20.1,-26.0,6.2,37.8,161.9,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,331.1,701.8,6.9,,,
4,T06,2017-01-04 15:40:00+00:00,1357.5,210.0,731.0,496.5,37.0,40.0,40.0,40.0,34.0,37.0,43.0,29.0,12.0,1.9,6.5,6.5,0.4,2.9,0.7000000000000001,3.7,342.9,20.0,-706.0,814.0,0.0,108.0,-665.0,2108.0,0.0,1443.0,42.0,45.0,41.0,38.0,35.0,30.0,35.0,25.0,22.0,-1.7000000000000002,43.9,13.2,12.1,56.0,38.0,36.0,37.0,38.0,0.6000000000000001,0.6000000000000001,50.0,397.6,395.8,394.2,24.9,27.2,28.9,114.4,-41.5,29.0,4.4,3.0,19.3,8.4,560.9,-136.2,71.6,16.9,122.5,0.0,25.5,-29.6,0.0,-600.1,81.7,29.6,600.1,0.0,81.7,41.0,339.2,536.2,7.0,,,
5,T06,2017-01-04 18:40:00+00:00,1259.0,1239.1,1248.3,2.3,49.0,56.0,58.0,58.0,33.0,43.0,48.0,28.0,11.1,11.0,11.1,6.0,1.8,3.7,0.5,-4.9,288.3,16.0,-9.0,7376.0,0.0,7367.0,-16.0,-12413.0,0.0,-12429.0,43.0,46.0,42.0,39.0,38.0,28.0,37.0,26.0,20.0,-0.5,0.8,0.1,0.4,92.0,40.0,38.0,38.0,38.0,43.9,0.5,50.0,400.2,398.3,397.1,70.5,93.8,67.2,84.1,-21.6,36.0,0.0,3.8,25.6,-74.5,0.4,-96.0,25.0,44.5,84.4,0.0,24.4,-216.6,0.0,-413.6,121.1,216.6,413.6,0.0,121.1,51.0,293.3,0.900000000000091,50.00000000000001,,,
6,T06,2017-01-04 18:50:00+00:00,1261.0,253.1,482.1,388.5,50.0,55.0,56.0,56.0,33.0,42.0,47.0,29.0,11.2,2.3,4.3,5.2,0.8,3.1,0.5,5.0,300.4,16.0,-1524.0,0.0,0.0,-1524.0,-2089.0,0.0,0.0,-2089.0,43.0,46.0,42.0,37.0,38.0,28.0,37.0,25.0,19.0,0.8,44.5,20.1,9.0,90.0,37.0,35.0,35.0,37.0,-9.1,0.6000000000000001,50.0,400.6,399.3,397.3,11.2,14.1,13.9,-7.5,-32.1,36.0,3.5,3.1,4.1,-12.5,-10.1,-31.4,4.1,18.0,74.8,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,295.4,766.1999999999999,53.0,,,
7,T06,2017-01-04 23:20:00+00:00,1350.8,277.8,906.8,445.6,37.0,43.0,44.0,44.0,30.0,42.0,44.0,27.0,11.9,2.5,8.0,6.2,1.1,3.5,0.7000000000000001,-6.9,341.7,14.0,-636.0,2436.0,0.0,1800.0,-405.0,303.0,0.0,-102.0,40.0,43.0,39.0,35.0,36.0,24.0,35.0,21.0,16.0,-2.3,24.0,8.1,11.1,73.0,36.0,34.0,34.0,35.0,10.8,0.5,50.0,399.2,397.5,394.1,49.3,55.2,57.6,97.4,-49.0,33.0,4.0,3.6,25.0,-1.3,476.1,-274.8,89.0,36.0,100.8,0.0,22.7,-76.2,0.0,-483.5,103.6,76.2,483.5,0.0,103.6,35.0,348.6,608.3,18.5,,,
8,T06,2017-01-04 23:30:00+00:00,1259.3,214.7,761.7,498.9,36.0,43.0,44.0,44.0,29.0,42.0,46.0,26.0,11.2,1.9,6.8,6.3,0.5,2.9,0.7000000000000001,2.0,334.5,14.0,-947.0,735.0,0.0,-211.0,-1347.0,-135.0,0.0,-1482.0,40.0,42.0,39.0,38.0,36.0,24.0,35.0,22.0,16.0,-0.5,46.4,12.5,12.4,75.0,38.0,36.0,36.0,37.0,-1.3,0.5,50.0,399.1,397.7,394.6,25.1,29.4,28.1,56.2,-26.5,32.0,4.4,2.9,14.6,-8.8,173.6,-135.2,42.2,7.7,56.7,0.0,12.9,-24.3,0.0,-277.6,53.9,24.3,277.6,0.0,53.9,36.0,332.5,145.0999999999999,12.100000000000001,,,
9,T06,2017-01-05 03:00:00+00:00,1254.7,1233.2,1248.0,3.1,31.0,36.0,37.0,37.0,29.0,41.0,45.0,24.0,11.1,10.9,11.1,6.2,1.7000000000000002,3.6,0.5,-11.7,335.6,13.0,-96.0,3653.0,0.0,3557.0,-97.0,-348.0,0.0,-445.0,37.0,40.0,36.0,35.0,31.0,22.0,30.0,20.0,15.0,-0.6000000000000001,1.4,0.3,0.4,48.0,36.0,34.0,34.0,33.0,21.1,0.4,50.0,402.2,400.1,398.8,74.6,81.4,79.7,63.2,-22.1,26.0,0.0,3.6,20.2,-3.4,275.8,-290.7,113.3,24.1,64.4,0.0,17.5,-106.9,0.0,-315.5,92.5,106.9,315.5,0.0,92.5,34.0,347.2,787.4,16.400000000000002,,,
